n,wr,total_pips,pf,avg,tf,pair,strat,params,spread,bars
106,26.41509433962264,-1139.7034516884144,0.7719503057362197,-10.75191935555108,D1,AUDUSD,keltner,"(20, 1.0, 14, 1.0, 2.0)",9,2284
46,26.08695652173913,-484.7362722846227,0.4109985711451381,-10.53774504966571,M30,EURUSD,supertrend,"(10, 2.0, 14, 2.5, 4.0)",9,5000
23,26.08695652173913,-510.3701946149263,0.7975553883297942,-22.190008461518534,D1,EURUSD,ema_macd,"(5, 13, 50, 14, 2.0, 4.0)",0,3730
39,25.64102564102564,-1372.41630987151,0.5235984372015872,-35.19016179157718,D1,AUDUSD,rsi,"(14, 80, 20, 14, 1.5, 2.5)",9,2284
39,25.64102564102564,-2813.1653154223523,0.509235811501946,-72.13244398518852,D1,GBPUSD,donchian,"(100, 21, 2.0, 3.0)",8,2284
43,25.581395348837212,-12271.621148196391,0.722090214822326,-285.38653833014865,M15,XAUUSD,ema_macd,"(5, 13, 50, 10, 1.5, 2.5)",28,5000
43,25.581395348837212,-12615.3949095803,0.7126532616749693,-293.3812769669837,M15,XAUUSD,ema_macd,"(5, 13, 50, 14, 1.5, 2.5)",28,5000
20,25.0,-137.13612894401984,0.4942401130874848,-6.856806447200992,M15,GBPUSD,supertrend,"(10, 3.0, 14, 2.0, 3.0)",10,5000
16,25.0,-172.79340395520705,0.5333094833195821,-10.799587747200441,M30,GBPUSD,supertrend,"(10, 3.0, 14, 2.0, 3.0)",10,5000
8,25.0,-191.28451457840694,0.6506899425626506,-23.910564322300868,D1,AUDUSD,supertrend,"(10, 2.0, 14, 2.5, 4.0)",9,2284
40,25.0,-429.04457010681654,0.5801747401755638,-10.726114252670413,M30,USDJPY,supertrend,"(10, 2.0, 14, 2.5, 4.0)",13,5000
112,25.0,-1073.6881316258098,0.49715878404344277,-9.586501175230444,M30,GBPUSD,keltner,"(30, 2.0, 21, 2.0, 3.0)",10,5000
33,24.242424242424242,-208.9634827194153,0.5532736117377322,-6.332226749073191,M30,EURUSD,ema_macd,"(5, 13, 50, 14, 2.0, 3.0)",9,5000
79,24.050632911392405,-883.7054215774656,0.43780785746376344,-11.186144576929944,M30,GBPUSD,donchian,"(100, 21, 2.0, 3.0)",10,5000
26,23.076923076923077,-327.0034987736814,0.4246593266096799,-12.577057645141592,M30,GBPUSD,supertrend,"(14, 2.5, 14, 2.0, 3.0)",10,5000
35,22.857142857142858,-274.99878298265514,0.5912614258892875,-7.8571080852187185,M30,USDJPY,ema_macd,"(5, 13, 100, 21, 2.0, 3.5)",13,5000
22,22.727272727272727,-728.9082160776682,0.5493811910684672,-33.13219163989401,D1,AUDUSD,ema_macd,"(3, 10, 50, 14, 1.5, 2.5)",9,2284
110,22.727272727272727,-899.4706763627687,0.4293359481509825,-8.177006148752442,M30,AUDUSD,keltner,"(50, 2.0, 21, 2.0, 3.0)",9,5000
27,22.22222222222222,-226.42782863987912,0.4662760558806195,-8.386215875551079,M30,EURUSD,supertrend,"(10, 2.5, 14, 2.0, 3.0)",9,5000
107,21.49532710280374,-1153.7984387213323,0.4351863369272902,-10.783162978704041,M30,GBPUSD,keltner,"(50, 2.0, 21, 2.0, 3.0)",10,5000
14,21.428571428571427,-106.17725606682171,0.5285862628946163,-7.584089719058694,M30,EURUSD,supertrend,"(10, 3.0, 14, 2.0, 3.0)",9,5000
